IDNUMBER	Mol Wt
F1052-0004	210.0892089
F3195-0085	210.1190698
F0862-0555	211.0779332
F2199-0233	211.0808703
F1748-0013	211.0891666
F0347-1022	211.924341
F2146-0009	211.9811117
F2146-0010	211.9811117
F2146-0011	211.9811117
F0373-0089	212.0367967
F0415-0065	212.0648859
F1589-0068	212.0837296
F3412-0083	212.094963
F6217-0275	212.094963
F1967-0959	214.0412134
F0862-0529	214.0629942
F0896-0457	214.0629942
F1707-0104	214.0629942
F6300-0046	214.0742276
F1011-0826	214.1106131
F0020-1972	214.9540837
F0850-6861	214.9540837
F1622-0020	215.0746421
F3282-0148	215.1058621
F1967-0688	216.0011784
F0819-0006	216.0357341
F0918-4601	216.0422587
F0016-0015	216.0534921
F0472-0184	216.0586577
F0192-0764	216.0721196
F2964-3854	216.0721196
F1260-1269	216.0786442
F0675-0001	216.0898776
F0675-0053	216.0898776
F0675-0287	216.0898776
F0675-0657	216.0898776
F1065-0192	216.0898776
F3412-0088	216.0898776
F2543-0010	217.030983
F0017-2366	217.0375077
F1265-0504	217.0375077
F0709-0036	217.0487411
F0300-0188	217.0673685
F3168-1689	217.0673685
F2189-0982	217.0738932
F3369-0639	217.1102787
F1967-1040	218.026232
F2158-0195	218.0325404
F0176-0170	218.0513841
F0183-0061	218.0513841
F0918-6894	218.0513841
F1967-1031	218.0513841
F1967-1045	218.0513841
F1967-1057	218.0513841
F1967-1179	218.0513841
F2135-0941	218.0626175
F1967-0033	219.0466331
F1097-0009	219.0895433
F1107-0003	219.0895433
F1107-0006	219.0895433
F3026-0053	219.0895433
F0341-0134	220.0282039
F0037-7410	220.0306487
F1074-0415	220.0306487
F6300-0060	220.0306487
F2135-0328	220.0670342
F2135-0843	220.0670342
F2147-0441	220.0670342
F2739-0043	220.0670342
F2739-0065	220.0670342
F2964-3870	220.0670342
F3168-1668	220.0670342
F0016-0139	220.0847923
F6244-1663	220.1575633
F1967-0775	221.0258977
F2147-0322	221.0258977
F3266-0294	221.0258977
F0777-0749	222.0099132
F0920-3251	222.0462987
F2146-0012	222.0462987
F3168-1687	222.0462987
F0430-0178	222.0575321
F1219-1424	222.0575321
F2181-0002	222.0575321
F0807-0394	222.1190698
F2805-1760	223.0415477
F0850-6840	223.0633285
F0777-1948	223.0779332
F3345-0666	223.0779332
F3412-0021	223.0844579
F0016-0140	224.0352552
F0777-0560	224.0367967
F2739-0040	224.0419623
F1386-0016	224.0531956
F0699-0010	224.0585775
F2739-0036	224.0731822
F3411-0299	224.0731822
F0020-1610	224.1347198
F0900-5717	224.942541
F0777-0981	225.0192708
F0777-1401	225.0192708
F2135-1007	225.0684312
F3139-0227	225.0789786
F3385-4445	225.0789786
F6213-0072	225.1364935
F1219-1414	226.0079951
F1443-5301	226.0412134
F3282-0139	226.1106131
F3412-0096	226.1106131
F1736-0509	227.0946287
F1967-1099	228.0469674
F0675-0060	228.0898776
F1058-0302	228.0898776
F5067-0021	228.0898776
F0651-0120	228.1262631
F2141-1568	228.9697338
F0862-0530	229.0375077
F1967-1038	229.0422164
F1967-1041	229.0422164
F1967-1059	229.0422164
F1967-1070	229.0422164
F1196-0240	229.0738932
F2739-0027	229.0884979
F6213-0197	229.1314081
F2167-3917	229.951332
F1204-0076	230.0513841
F1443-4649	230.0513841
F1923-0044	230.0626175
F0852-0038	230.0691422
F1457-0012	230.0691422
F0675-0054	230.1055277
F0675-0056	230.1055277
F0675-0236	230.1055277
F0675-0288	230.1055277
F0675-0522	230.1055277
F3412-0104	230.1055277
F6210-0146	230.1055277
F2543-0330	231.0466331
F2543-0490	231.0466331
F2543-0650	231.0466331
F1265-0507	231.0531578
F1751-0015	231.0531578
F1751-0045	231.0531578
F1751-0046	231.0531578
F3298-0053	231.0531578
F3325-0345	231.104148
F1967-1050	232.0306487
F0125-1797	232.0484067
F0192-0790	232.0670342
F0331-0123	232.0670342
F2161-0085	232.0670342
F3282-0140	232.0670342
F1586-0005	232.0782676
F2381-0019	232.0847923
F6476-0079	232.1211778
F1967-1062	233.0258977
F6089-5569	233.0510498
F6401-0047	233.0510498
F6436-1634	233.0510498
F1967-0034	233.0622832
F5791-1207	233.0622832
F0771-0292	233.0688078
F1383-0003	233.0688078
F1707-0019	233.0688078
F6226-0015	233.0688078
F0918-6890	233.0986687
F1107-0011	233.1051933
F1732-0248	233.1051933
F3294-0109	233.1051933
F3294-0111	233.1051933
F3294-0135	233.1051933
F6478-2383	233.1164267
F6489-0079	233.1164267
F0440-0191	234.0462987
F1967-0508	234.0462987
F1967-0509	234.0462987
F2147-0415	234.0462987
F5067-0049	234.0462987
F1065-0553	234.0640568
F2135-0333	234.0826843
F2739-0055	234.0826843
F2964-3856	234.0826843
F2964-3871	234.0826843
F0016-1635	234.1004423
F2189-0604	234.1368278
F5791-0596	235.0278695
F3266-0295	235.0415477
F0918-5307	235.0579467
F6089-7868	235.1208434
F6448-0796	235.1320768
F6448-1612	235.1320768
F1967-0642	235.946556
F0284-0425	236.0255633
F2135-0943	236.0531956
F0921-3048	236.0619488
F2147-0393	236.0619488
F2739-0042	236.0619488
F2739-0074	236.0619488
F6210-0052	236.0619488
F2135-0682	236.0731822
F2135-0691	236.0731822
F2135-0781	236.0731822
F2135-0783	236.0731822
F1618-0685	236.0983343
F0807-0393	236.1347198
F1967-0055	237.0372112
F6435-5378	237.0823499
F2227-0010	237.090212
F1553-0090	237.9967617
F1967-0511	237.9967617
F2141-0837	238.0145198
F2135-0329	238.0576123
F0331-0127	238.0775989
F0381-0765	238.958191
F1443-4473	238.958191
F1443-4474	238.958191
F1097-0010	239.0349209
F1107-0005	239.0349209
F1900-0013	239.0349209
F3133-0002	239.0349209
F2135-1008	239.0840812
F2158-0369	239.1058621
F6471-2528	239.1310142
F6213-0241	239.1521435
F2739-0047	240.0124118
F0017-0766	240.0680968
F0331-0254	240.0680968
F0373-0093	240.0680968
F0355-0074	240.0898776
F1118-0505	240.0898776
F3282-0132	240.1262631
F0143-0003	241.0350629
F1709-0021	241.0350629
F0856-0439	241.0738932
F3282-0129	241.0738932
F6435-1812	241.0851266
F5066-0021	241.1215121
F6213-0067	241.1677936
F2146-0021	241.9916763
F0472-0185	242.0579088
F3203-0010	242.0579088
F1967-1039	242.0626175
F1967-1074	242.0626175
F2135-0868	242.0626175
F2145-0438	242.0725135
F0081-0280	242.0877696
F0675-0295	242.1055277
F3282-0152	242.1055277
F3412-0079	242.1055277
F3412-0101	242.1055277
F3412-0102	242.1055277
F2764-0214	242.1266571
F0651-0244	242.1419132
F0494-0056	243.0895433
F1736-0461	243.0895433
F5871-3626	243.1007767
F2739-0028	243.104148
F2070-0662	243.1120101
F6266-0047	243.1259288
F6213-0083	243.1470582
F2135-0064	244.0418821
F2135-0109	244.0418821
F3411-5431	244.0418821
F1204-0077	244.0670342
F5791-1423	244.0670342
F1923-0045	244.0782676
F2381-0084	244.0847923
F6473-2019	244.0960256
F3412-0093	244.1011912
F3412-0098	244.1011912
F0675-0057	244.1211778
F0675-0058	244.1211778
F0675-0059	244.1211778
F0675-0289	244.1211778
F0675-0291	244.1211778
F0675-0523	244.1211778
F5053-0024	244.1211778
F1967-0774	245.0622832
F1967-1151	245.0622832
F3367-0002	245.0622832
F1065-0197	245.0688078
F1265-0506	245.0688078
F9995-1146	245.0688078
F2094-0372	245.0800412
F6471-2537	245.0874353
F3026-0076	245.1051933
F6201-0037	245.1051933
F6436-3146	245.1051933
F2381-0015	245.1164267
F2145-0350	245.119798
F0016-0057	245.1415789
F1925-0016	246.0375456
F1967-1071	246.0375456
F3367-0023	246.0575321
F3139-1244	246.079313
F0807-0854	246.0826843
F2964-3875	246.0826843
F2381-0020	246.1004423
F6476-5466	246.1368278
F6476-6989	246.1368278
F6479-2383	246.1368278
F0311-0737	247.0415477
F3220-0488	247.0415477
F3139-0908	247.0745619
F3139-0910	247.0745619
F1622-0065	247.0779332
F1967-0043	247.0779332
F3203-0012	247.0779332
F1572-0127	247.0844579
F1729-0140	247.0844579
F5835-0007	247.0878292
F6435-5387	247.1030853
F0651-0416	247.1143187
F0016-0056	247.1208434
F6359-2865	247.1320768
F6480-5263	247.1320768
F6489-0655	247.1320768
F0192-0793	248.0619488
F1967-1053	248.0619488
F2964-3857	248.0619488
F0856-0058	248.0797069
F3165-1610	248.0983343
F3385-6274	248.1160924
F1967-0765	249.0372112
F1967-0767	249.0372112
F1967-0768	249.0372112
F5791-3347	249.0571978
F1305-0315	249.090212
F3371-0307	249.090212
F0856-0096	249.0935833
F3168-1698	249.0935833
F0836-0029	249.1299688
F6448-1101	249.1477269
F1058-0296	249.974176
F0777-0399	250.0412134
F2739-0044	250.0412134
F0920-4471	250.0576123
F2381-0104	250.0753704
F2381-0112	250.0753704
F1659-0012	250.0775989
F1723-0209	250.0775989
F2135-0334	250.0775989
F2739-0053	250.0775989
F3165-0009	250.085461
F3098-3642	250.0953569
F1533-0348	250.1139844
F0307-0662	251.0097688
F0912-2561	251.0364623
F3168-1690	251.0517185
