IDNUMBER	Mol Wt
F6445-1303	289.0884979
F6448-0563	289.0884979
F3055-0038	289.1114215
F6122-0041	289.11365
F0327-0168	289.1215121
F0667-0002	289.1248834
F6172-0087	289.1314081
F2764-0058	289.1677936
F6213-0174	289.1677936
F6213-0179	289.1677936
F1450-0200	290.0725135
F9994-4675	290.0725135
F5791-1764	290.0837469
F6473-2399	290.0837469
F9994-4352	290.0837469
F6261-2225	290.0889124
F1521-1432	290.108899
F5831-5952	290.1201324
F3097-1381	290.1419132
F2764-0113	290.1630426
F6089-1605	290.1630426
F6213-0307	290.1630426
F6213-0323	290.1630426
F1117-0017	290.989492
F0239-0646	291.0176988
F1065-0198	291.0565291
F1967-1118	291.0677625
F5791-1400	291.0677625
F9994-4797	291.0677625
F0919-4610	291.0841614
F1244-0170	291.1082279
F6218-0051	291.1120101
F6469-1975	291.1371622
F2764-0001	291.1470582
F6089-1553	291.1470582
F6213-0098	291.1470582
F6213-0099	291.1470582
F6213-0150	291.1470582
F6529-2870	291.1582915
F0894-0022	291.966982
F1244-0020	291.99602
F1244-0082	291.99602
F3345-0657	292.0185598
F3411-5432	292.0185598
F0581-0474	292.0437119
F0581-0510	292.0437119
F6473-4519	292.051778
F3161-0165	292.0630114
F0745-0670	292.0782676
F1105-0148	292.0847923
F1443-0969	292.0847923
F0095-2348	292.0881636
F0370-0179	292.0881636
F3222-3562	292.0881636
F0103-0015	292.1211778
F0341-0126	292.1211778
F2862-0078	292.1211778
F5833-8121	292.1211778
F5834-4060	292.1211778
F6193-0049	292.1211778
F0327-0181	292.1324112
F0657-0210	292.1324112
F6213-0021	292.1423071
F6226-0506	293.0721791
F0131-0019	293.0800412
F2543-0333	293.0834125
F2543-0653	293.0834125
F6118-0055	293.1085647
F6118-0205	293.1085647
F6213-0052	293.1085647
F6265-0239	293.1085647
F6271-0068	293.1085647
F6435-1452	293.1085647
F0675-0331	293.1164267
F0675-0332	293.1164267
F1031-0032	293.1164267
F1305-0343	293.1164267
F2763-0034	293.1427217
F6213-0171	293.1427217
F6446-0031	293.1528122
F5831-4207	293.1627082
F1065-0340	294.0674281
F1260-0411	294.0838271
F1219-1505	294.0939176
F1423-0809	294.1004423
F1201-0089	294.1038136
F1521-3882	294.1038136
F6210-0806	294.1038136
F1354-0402	294.1368278
F6213-0299	294.1379706
F0784-0218	294.1480612
F3222-3227	295.0182254
F6512-0771	295.0527811
F0885-0053	295.0878292
F1012-0095	295.0878292
F2545-0376	295.0878292
F2764-0050	295.0975211
F2764-0067	295.0975211
F6118-0059	295.0975211
F6118-0060	295.0975211
F6213-0116	295.0975211
F2823-0179	295.1069247
F3026-0002	295.1208434
F5831-4208	295.1242147
F6523-4127	295.1320768
F3320-0109	295.1684623
F6440-2344	295.1684623
F6513-5805	295.1684623
F0341-0128	296.0961058
F0675-0088	296.0961058
F1354-0403	296.0983343
F1201-0056	296.0994771
F0675-0568	296.1160924
F6436-1155	296.1160924
F6436-1269	296.1160924
F6436-1471	296.1160924
F5831-4377	296.1194637
F6089-1609	296.1194637
F6118-0324	296.1194637
F6213-0313	296.1194637
F6438-0025	296.1637113
F2764-0178	296.1736073
F6430-0217	297.0684312
F3168-1707	297.0935833
F1641-0151	297.100108
F0383-0335	297.1014454
F2493-2240	297.1113414
F6118-0065	297.1176497
F6213-0123	297.1176497
F6213-0124	297.1176497
F6414-1027	297.1364935
F6440-3110	297.1477269
F6448-1679	297.1477269
F6529-2470	297.1477269
F9994-4347	297.1477269
F9994-4646	297.1477269
F0440-0176	298.0412134
F1105-0197	298.0412134
F3168-1656	298.0412134
F0916-4094	298.0524468
F0675-0334	298.0775989
F0784-0264	298.0985242
F0016-0130	298.1139844
F0478-0006	298.1317424
F5600-0604	298.1429758
F2763-0258	298.1892573
F1876-1098	299.0573877
F6557-0077	299.0649858
F6512-0972	299.0728478
F6445-6271	299.0825398
F0016-0127	299.1092334
F0090-0069	299.1092334
F1044-0026	299.1092334
F6445-1312	299.1092334
F6446-0040	299.1092334
F6200-3985	299.115758
F6436-3435	299.115758
F9995-2400	299.1170954
F1123-0020	299.1204667
F0675-0178	299.1269914
F5047-0047	299.1269914
F6448-2123	299.1269914
F6513-5799	299.1433904
F6525-0206	299.1433904
F6213-0008	299.1555148
F9994-0578	301.1426415
F9994-0582	303.121906
F9994-4701	304.0881636
F9994-4898	306.0674281
F9994-4223	306.0771201
F9994-4271	306.0786615
F9994-4684	307.0626771
F5323-0768	309.070261
F9994-4673	309.0895605
F9994-0584	310.1429758
F9994-4248	311.1633769
F9994-0583	312.1586259
F9994-0586	313.006204
F9994-0577	315.1582915
F9994-0579	320.1040035
F9994-0580	324.1473925
F9994-4712	327.0332068
F9994-4760	327.0347483
F9994-4638	329.1739416
F9994-4234	331.1532062
F9994-4737	332.1194637
F5095-0078	332.140389
F9994-4211	333.0880191
F9994-4243	335.1269914
F0182-0234	347.1779816
F9994-5127	350.1300284
F9994-0575	351.104148
F9994-0576	351.1252773
F9994-4700	354.0441058
F9994-4732	356.0830782
F9994-4307	359.1036692
F9994-0581	361.1637709
F9994-4179	365.1409274
F9994-4181	365.1409274
F9994-4182	365.1409274
F9994-4214	367.120192
F9994-4542	370.1616604
F9994-0587	372.0813641
F0182-0152	376.1205263
F9994-4535	379.1565775
F9994-4540	379.1565775
F9994-0591	380.0597559
F9994-0594	386.0970142
F9994-4667	386.0970142
F9994-4670	386.0970142
F9994-4671	386.0970142
F9994-4703	388.0762787
F9994-5028	391.1177472
F9994-4536	399.1019551
F9994-5021	400.1126642
F9994-5026	400.1126642
F9994-5022	420.0580418
